tractid,vote_by_tract
06041132200,96966.791896464
06041133000,151024.63534414402
06055200201,130054.744516772
06055200202,92676.345014618
06055200203,79391.65497031
06055200301,181701.455145875
06055200302,118359.729469732
06055200400,194998.836800728
06055200501,141089.906821075
06055200503,53137.688006944
06055200504,203755.259644028
06055200505,81644.740341885
06055200601,220433.66299772199
06055200602,233158.039294851
06055200703,191438.41232845
06055200704,147925.200953439
06055200705,147706.734913468
06055200706,185245.978825061
06055200707,158535.07378072198
06055200802,234078.531917016
06055200803,115242.651546889
06055200804,135478.588802879
06055200900,6757.709250988
06055201003,172105.818528091
06055201004,202899.99998011198
06055201005,92793.339282844
06055201006,122047.224669446
06055201007,148191.213372822
06055201101,137131.564374834
06055201102,92938.562633393
06055201200,243409.731965166
06055201300,147148.962649164
06055201401,184945.773887128
06055201402,172377.47782633101
06055201403,53887.438780585
06055201500,100121.1009479
06055201601,96010.750127775
06055201602,180515.86309361
06055201700,203553.984670165
06055201800,63633.661369766996
06055201900,60776.586086496
06055202000,185899.999983877
06075010100,159884.877350158
06075010200,255283.305805501
06075010300,203670.494773273
06075010400,227111.245769252
06075010500,123773.468527138
06075010600,142010.992921282
06075010700,135812.264521187
06075010800,207963.423361851
06075010900,260776.977110222
06075011000,245527.677626377
06075011100,248931.653512262
06075011200,168369.689395025
06075011300,81888.20607430399
06075011700,76325.498797159
06075011800,35903.272918073
06075011901,109909.715644221
06075011902,115992.836725698
06075012000,149908.478628467
06075012100,133597.995188266
06075012201,154624.09381441
06075012202,77614.861190762
06075012301,59868.578843249
06075012302,95383.374975785
06075012401,123236.637772045
06075012402,190622.035246258
06075012501,89201.974500914
06075012502,86663.745018616
06075012601,128748.092746716
06075012602,142962.829785584
06075012700,193491.938943652
06075012800,244345.887573494
06075012901,154206.366477974
06075012902,185310.258295048
06075013000,239635.756140536
06075013101,229825.243419261
06075013102,162938.475881451
06075013200,239845.266731749
06075013300,243417.434733138
06075013400,219213.912543508
06075013500,152118.481219168
06075015100,150141.707759978
06075015200,216838.749994681
06075015300,124899.999996084
06075015400,330746.325462547
06075015500,165194.717197215
06075015600,156997.085549118
06075015700,342309.116738101
06075015801,179415.402824051
06075015802,185577.906389798
06075015900,163907.230486541
06075016000,121451.839916265
06075016100,200666.675186257
06075016200,181881.435425163
06075016300,217081.45590258602
06075016400,223170.479459893
06075016500,296293.074784924
06075016600,339472.623015003
06075016700,308816.004245313
06075016801,221149.695614968
06075016802,207885.403707502
06075016900,215072.674344963
06075017000,268897.292507954
06075017101,229688.531907028
06075017102,234321.478375333
06075017601,347750.445789117
06075017700,99004.142763126
06075017801,135736.182399433
06075017802,242330.016384835
06075017902,49053.279627698
06075018000,150663.361646981
06075020100,232121.68937379098
06075020200,319624.147288982
06075020300,217376.2528129
06075020401,209199.818621131
06075020402,259571.110403803
06075020500,186937.346508464
06075020600,333454.691451361
06075020700,321721.408383039
06075020800,252426.009141412
06075020900,198006.910330066
06075021000,239797.296582426
06075021100,248738.434357256
06075021200,184049.413349541
06075021300,148090.109152431
06075021400,217128.151179407
06075021500,307903.31921041297
06075021600,244306.175227786
06075021700,243026.57287064
06075021800,247865.352329222
06075022600,322760.199104529
06075022702,136657.85615503
06075022704,204446.18031075
06075022801,218809.124319396
06075022802,89866.240531776
06075022803,196545.586576115
06075022901,165275.824500771
06075022902,103796.708422327
06075022903,142779.62912882
06075023001,144219.69093731898
06075023003,130473.908454767
06075023102,113542.947578716
06075023103,114491.150414695
06075023200,143595.012091459
06075023300,114813.08142849
06075023400,91306.642141748
06075025100,186357.556060822
06075025200,295756.684239992
06075025300,245514.294940311
06075025401,162072.63423174398
06075025402,146511.667439663
06075025403,177664.177229826
06075025500,323729.170265511
06075025600,192460.339636152
06075025701,145092.401814245
06075025702,127555.097192773
06075025800,52200.786245457
06075025900,164540.866181074
06075026001,167090.692704022
06075026002,116997.24620557
06075026003,162160.589934057
06075026004,125662.063754136
06075026100,208451.128701986
06075026200,214897.643399603
06075026301,132275.116625245
06075026302,156233.823521466
06075026303,136062.864377338
06075026401,100264.53999101
06075026402,123951.112400942
06075026403,97649.772558878
06075026404,62600.570472816
06075030101,263559.145479623
06075030102,273371.08981142
06075030201,211196.43207679
06075030202,246786.70126220002
06075030301,324730.301406264
06075030302,193739.50563306
06075030400,285289.685007865
06075030500,141781.710206825
06075030600,138552.289247526
06075030700,403713.369869378
06075030800,335300.872338013
06075030900,369567.707915989
06075031000,199993.810124732
06075031100,323518.120057182
06075031201,205158.56622082
06075031202,113489.064310639
06075031301,166856.351122182
06075031302,198813.660872452
06075031400,211829.142328968
06075032601,225099.03992356
06075032602,188339.155842908
06075032700,292735.733271827
06075032801,163572.304516835
06075032802,168587.673129235
06075032901,207512.475003184
06075032902,155246.406144687
06075033000,365369.639256143
06075033100,189991.587111577
06075033201,84064.67273176
06075033203,121975.392091689
06075033204,124253.646377934
06075035100,338202.377148838
06075035201,248918.580592482
06075035202,194273.791599374
06075035300,290668.761771435
06075035400,298036.488824733
06075040100,224802.28455176798
06075040200,265110.673613709
06075042601,174805.223576466
06075042602,161921.465817211
06075042700,230179.743114351
06075042800,151250.193633002
06075045100,232339.057303833
06075045200,334692.307680703
06075047600,263211.574056995
06075047701,191082.791075919
06075047702,177482.963683941
06075047801,184634.800926953
06075047802,166579.27551133
06075047901,296014.367803412
06075047902,172022.893137536
06075060100,137093.71761715
06075060400,70267.888692782
06075060502,52938.041062763
06075060700,397413.184036556
06075061000,139681.989896672
06075061100,76416.034621275
06075061200,109109.157476827
06075061400,257575.157790226
06075061500,621063.065676551
06075980200,6686.640352986
06075980300,4502.55090997
06075980501,9208.81226047
06075980600,17360.672268288
06075980900,24449.732894335
06081600100,239684.64455095
06081600200,103104.347813482
06081600300,136968.999665358
06081600401,93349.397589571
06081600402,106743.207827917
06081600500,211338.953853682
06081600600,131121.39116379
06081600700,159179.48322139902
06081600800,113583.021719168
06081600900,147299.999987625
06081601000,237899.999978252
06081601100,188455.82297651
06081601200,199135.329318853
06081601300,199176.034750841
06081601400,197552.755485345
06081601501,149810.10197008
06081601502,94501.459346816
06081601601,78124.176614775
06081601603,175422.212285516
06081601604,79929.207192392
06081601605,204855.693047169
06081601700,174975.376208348
06081601800,250618.984602109
06081601901,148399.999988382
06081601902,173735.363093311
06081602000,287359.513747272
06081602100,69814.996794576
06081602200,173089.006896915
06081602300,119896.415189251
06081602400,283816.923043223
06081602500,184203.848178708
06081602600,266557.207978155
06081602700,216022.165280036
06081602800,166415.930306742
06081602900,169900.581754954
06081603000,223248.510421059
06081603100,201336.74366349
06081603200,204199.842189372
06081603300,368946.356444912
06081603400,309131.676683165
06081603700,236702.968378778
06081603801,76099.999999239
06081603802,241699.999982339
06081603900,224701.007900657
06081604000,153906.578062628
06081604101,180276.934725613
06081604102,96923.065246276
06081604200,102539.908768193
06081604400,151124.273579542
06081604500,162482.604577586
06081604600,125679.777682363
06081604700,139902.599217438
06081604800,204495.255738065
06081604900,139935.77652625
06081605000,348449.593183171
06081605100,140584.94933308
06081605200,192922.533327042
06081605300,229414.509249893
06081605400,251570.228976752
06081605500,229385.156729516
06081605600,304252.031407894
06081605700,287392.764861357
06081605800,144870.588221112
06081605900,212099.999991617
06081606000,152729.770984232
06081606100,146233.36069827
06081606200,177111.497873109
06081606300,161228.319674668
06081606400,241825.223602346
06081606500,215569.763743999
06081606600,162387.80995758
06081606700,138062.967275737
06081606800,178059.521708327
06081606900,138801.980185904
06081607000,171060.353480742
06081607100,160020.540380481
06081607200,132489.42151739702
06081607300,202300.28854523101
06081607400,202317.264856256
06081607500,205008.14469135
06081607600,159946.45667434
06081607701,116255.141378864
06081607702,100162.36161464
06081607800,123666.566047556
06081607900,138699.999995839
06081608001,108248.86124992999
06081608002,163951.456894486
06081608004,248599.999989412
06081608013,167362.980792286
06081608023,120149.812642662
06081608100,138579.262463224
06081608200,154890.579875225
06081608300,137230.157626422
06081608400,143265.29810526
06081608501,207421.22326952
06081608502,105515.30022019
06081608600,156531.886478247
06081608700,350349.078211817
06081608800,325381.958013352
06081608900,294595.135964886
06081609000,131035.182987977
06081609100,72272.093015877
06081609201,198866.30005716
06081609202,180142.360147112
06081609300,194475.409032875
06081609400,194241.76267259
06081609500,275647.281625626
06081609601,163250.499814896
06081609602,98743.901905482
06081609603,320237.348603615
06081609700,264974.49083071697
06081609800,249583.933697016
06081609900,180836.048659338
06081610000,227289.528689143
06081610100,91133.799524843
06081610201,102652.17712099799
06081610202,136472.332719961
06081610203,44453.888080175
06081610302,103727.906976253
06081610303,340737.006221144
06081610304,188542.97043674
06081610400,141099.999989195
06081610500,101634.218739134
06081610601,91317.67954716
06081610602,147479.513639507
06081610700,188232.381783451
06081610800,88351.886946926
06081610900,204442.908466581
06081611000,252408.551036654
06081611100,342400.392669122
06081611200,156888.728692757
06081611300,258809.984279761
06081611400,225690.428548892
06081611500,153774.99997169
06081611600,125970.68318356501
06081611700,165318.46471278698
06081611800,102865.796870212
06081611900,245657.526069106
06081612000,134023.05008314
06081612100,140660.486882715
06081612500,209979.32691238602
06081612600,202588.787991978
06081612700,137545.619744496
06081612800,189391.268876323
06081612900,245831.346500516
06081613000,154035.205428135
06081613200,442866.705794024
06081613300,166717.275868299
06081613400,194750.057288349
06081613501,204245.304514102
06081613502,343561.822727419
06081613600,318805.489850891
06081613700,427813.927225792
06081613800,177328.719290756
06081613900,275715.25971852
06081614000,225351.43930771
06085500100,194822.892800775
06085500200,165394.917884934
06085500300,146274.839463324
06085500400,109568.22112079
06085500500,268989.055919481
06085500600,220696.79146661
06085500800,158213.813833214
06085500901,103150.24148340599
06085500902,61186.493725347005
06085501000,146334.163993738
06085501101,136696.888472544
06085501102,147894.418186624
06085501200,116929.211503135
06085501300,146108.477709557
06085501401,53691.361941993004
06085501402,59183.886550408
06085501501,73447.832077661
06085501502,67327.334315611
06085501600,187184.737707012
06085501700,88913.180304799
06085501800,186777.684202342
06085501900,184081.252244964
06085502001,157674.022097905
06085502002,115761.122386213
06085502101,202036.575183673
06085502102,176337.337590487
06085502201,201809.116183441
06085502202,131315.471348877
06085502301,163061.095766918
06085502302,119623.466720311
06085502400,372319.68678626
06085502500,340644.108321434
06085502601,151710.626546022
06085502603,140551.246191559
06085502604,163949.030632964
06085502701,192899.769946873
06085502702,330186.465907384
06085502800,173935.72577586
06085502901,251974.203720547
06085502902,372740.474173331
06085502903,278508.070848287
06085502906,199601.801530859
06085502907,182521.146078265
06085502908,266726.01066712
06085502909,186349.882252134
06085502910,122405.308867486
06085503001,228724.34105546
06085503002,162907.181948786
06085503003,232116.054350192
06085503105,63195.676272335004
06085503108,230131.845828183
06085503110,58139.773031883
06085503111,109275.56116204
06085503112,96922.36383836
06085503113,91669.944643413
06085503115,198756.739118276
06085503116,155199.999994377
06085503117,52459.882668942
06085503118,78150.761733256
06085503121,104040.471616194
06085503122,81558.345106124
06085503123,89486.666692487
06085503204,184299.99998702802
06085503207,132399.99999455
06085503208,104003.3976754
06085503210,101099.999993426
06085503211,140545.418590279
06085503212,128177.566701428
06085503213,107954.09802382
06085503214,195463.795818322
06085503217,81576.430199341
06085503218,74832.083496154
06085503304,147209.06600905198
06085503305,142190.802910592
06085503306,89026.15848635
06085503312,130221.866494744
06085503313,182459.286425691
06085503315,191983.949320293
06085503321,140099.999992184
06085503322,133803.213065423
06085503323,161833.067449116
06085503324,116502.09727945
06085503325,146087.29225351
06085503326,214298.546972147
06085503327,181557.24060971
06085503329,126569.786646796
06085503330,263436.593251752
06085503331,165859.387756439
06085503332,369380.83045122
06085503333,144420.522606463
06085503334,312055.673906198
06085503336,94863.773528445
06085503337,102200.131056311
06085503401,107379.70465017
06085503402,77920.295332062
06085503504,121708.382658868
06085503506,117831.147676909
06085503507,37791.532622418
06085503508,120580.88214723
06085503509,100120.155732965
06085503510,103439.664485111
06085503511,89077.5440068
06085503601,54488.752744539
06085503602,86275.40452121099
06085503703,62540.229978054
06085503707,96955.051142985
06085503708,84679.016676872
06085503709,110749.54954636
06085503710,66614.630751075
06085503711,75221.251113305
06085503712,69182.101008706
06085503713,57914.328154669
06085503802,247617.613071026
06085503803,126823.973595328
06085503804,136784.921347549
06085503902,123435.036817239
06085503903,79596.075328803
06085504001,107960.805765124
06085504002,106641.081159843
06085504101,112455.820370695
06085504102,118030.508825867
06085504201,235378.963667644
06085504202,190122.908785596
06085504307,170008.398398026
06085504308,187802.715236007
06085504311,229325.46031372
06085504314,160622.04127762
06085504315,209657.670155486
06085504316,139972.198419877
06085504317,135597.702818533
06085504318,76571.042908324
06085504319,215619.598565556
06085504320,98668.809238071
06085504321,150700.389832689
06085504322,92955.25166376
06085504323,136060.678911714
06085504410,119662.413888286
06085504411,168383.999982178
06085504412,150855.213970126
06085504413,60363.531815668
06085504414,186753.055844396
06085504415,182588.662115741
06085504416,120146.571021595
06085504417,15306.335567758
06085504418,112378.388456625
