"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"136","136","Union Joint Elementary (Marin)","Union Joint Elementary","Union Joint Elementary School District","Marin","Elementary School District",12,33633,6228235,"29900","188488",66666947122,"23014","288647","35244","Marin","Elementary School District","Petaluma","21-65516-0000000",12,NA,NA,NA,NA,NA,NA,288647,35244,188488,23014,1317,1195,2464,1.11155655008267
"137","137","Vacaville Unified (Solano)","Vacaville Unified","Vacaville Unified School District","Solano","Unified School District",12952,63643,6228235,"9819","110861418",66666947122,"10567","106934562","10193","Solano","Unified School District","Vacaville","48-70573-0000000",12952,NA,NA,NA,NA,37.7,49.3,106934562,10193,110861418,10567,355,1057,460,-0.624481028914088
"138","138","Vallejo City Unified (Solano)","Vallejo City Unified","Vallejo City Unified School District","Solano","Unified School District",14554,63643,6228235,"12121","151618908",66666947122,"12939","145199991","12391","Solano","Unified School District","Vallejo","48-70581-0000000",14554,NA,NA,NA,NA,19.8,28.4,145199991,12391,151618908,12939,198,1960,745,-0.293647805054499
"139","139","Walnut Creek Elementary (Contra Costa)","Walnut Creek Elementary","Walnut Creek Elementary School District","Contra Costa","Elementary School District",3589,177370,6228235,"10078","35435237",66666947122,"10161","35712525","10241","Contra Costa","Elementary School District","Walnut Creek","07-61812-0000000",3589,NA,NA,NA,NA,68.1,73,35712525,10241,35435237,10161,1160,933,281,-0.681107626252618
"140","140","Waugh Elementary (Sonoma)","Waugh Elementary","Waugh Elementary School District","Sonoma","Elementary School District",909,70940,6228235,"9305","8372927",66666947122,"9578","8352252","9554","Sonoma","Elementary School District","Petaluma","49-70995-0000000",909,NA,NA,NA,NA,63.2,67.3,8352252,9554,8372927,9578,792,842,230,-0.762421188440705
"141","141","West Contra Costa Unified (Contra Costa)","West Contra Costa Unified","West Contra Costa Unified School District","Contra Costa","Unified School District",31267,177370,6228235,"11487","334337591",66666947122,"12381","337500166","12498","Contra Costa","Unified School District","Richmond","07-61796-0000000",31267,NA,NA,NA,NA,23.7,34.1,337500166,12498,334337591,12381,787,1373,649,-0.371474507800557
"142","142","West Side Union Elementary (Sonoma)","West Side Union Elementary","West Side Union Elementary School District","Sonoma","Elementary School District",179,70940,6228235,"10583","1900324",66666947122,"11172","1807238","10625","Sonoma","Elementary School District","Healdsburg","49-71001-0000000",179,NA,NA,NA,NA,36.4,44.8,1807238,10625,1900324,11172,1496,1548,317,-0.540099030417018
"143","143","Wilmar Union Elementary (Sonoma)","Wilmar Union Elementary","Wilmar Union Elementary School District","Sonoma","Elementary School District",233,70940,6228235,"9926","2383055",66666947122,"10500","2272186","10011","Sonoma","Elementary School District","Petaluma","49-71019-0000000",233,NA,NA,NA,NA,59.4,65.1,2272186,10011,2383055,10500,848,1456,488,-0.633825812218723
"144","144","Windsor Unified (Sonoma)","Windsor Unified","Windsor Unified School District","Sonoma","Unified School District",5225,70940,6228235,"10764","45838070",66666947122,"11923","46656846","12136","Sonoma","Unified School District","Windsor","49-75358-0000000",5225,NA,NA,NA,NA,29.2,44.1,46656846,12136,45838070,11923,1597,1072,459,-0.435353772778505
"145","145","Woodside Elementary (San Mateo)","Woodside Elementary","Woodside Elementary School District","San Mateo","Elementary School District",400,95620,6228235,"25385","11134635",66666947122,"26666","10872867","26039","San Mateo","Elementary School District","Woodside","41-69088-0000000",400,NA,NA,NA,NA,79.8,81,10872867,26039,11134635,26666,7618,1164,209,1.62091697737408
"146","146","Wright Elementary (Sonoma)","Wright Elementary","Wright Elementary School District","Sonoma","Elementary School District",1593,70940,6228235,"11887","18910286",66666947122,"12528","18319517","12136","Sonoma","Elementary School District","Santa Rosa","49-71035-0000000",1593,NA,NA,NA,NA,32.4,49.3,18319517,12136,18910286,12528,1073,1116,442,-0.350971774281434
