"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"82","82","Mountain View Whisman (Santa Clara)","Mountain View Whisman","Mountain View Whisman Elementary School District","Santa Clara","Elementary School District",5125,273264,6228235,"13307","66681596",66666947122,"13494","66153600","13387","Santa Clara","Elementary School District","Mountain View","43-69591-0000000",5125,NA,NA,NA,NA,62,66.1,66153600,13387,66681596,13494,2314,863,502,-0.216239525441483
"83","83","Mt. Diablo Unified (Contra Costa)","Mt. Diablo Unified","Mt. Diablo Unified School District","Contra Costa","Unified School District",31814,177370,6228235,"11671","353129952",66666947122,"11724","362277908","12028","Contra Costa","Unified School District","Concord","07-61754-0000000",31814,NA,NA,NA,NA,38.6,50,362277908,12028,353129952,11724,555,2026,586,-0.463109173937046
"84","84","Napa Valley Unified (Napa)","Napa Valley Unified","Napa Valley Unified School District","Napa","Unified School District",18224,20562,6228235,"11193","181139470",66666947122,"11252","182884378","11360","Napa","Unified School District","Napa","28-66266-0000000",18224,NA,NA,NA,NA,33.2,45.4,182884378,11360,181139470,11252,421,990,520,-0.528941080202529
"85","85","New Haven Unified (Alameda)","New Haven Unified","New Haven Unified School District","Alameda","Unified School District",11893,226904,6228235,"11157","130038158",66666947122,"11466","131004094","11551","Alameda","Unified School District","Union City","01-61242-0000000",11893,NA,NA,NA,NA,39.4,49.6,131004094,11551,130038158,11466,731,1156,826,-0.499093563378772
"86","86","Newark Unified (Alameda)","Newark Unified","Newark Unified School District","Alameda","Unified School District",5845,226904,6228235,"11172","63821026",66666947122,"11368","64871188","11555","Alameda","Unified School District","Newark","01-61234-0000000",5845,NA,NA,NA,NA,36.7,45.5,64871188,11555,63821026,11368,698,1144,420,-0.51276205239152
"87","87","Nicasio (Marin)","Nicasio","Nicasio Elementary School District","Marin","Elementary School District",43,33633,6228235,"22220","1028216",66666947122,"24622","1040512","24916","Marin","Elementary School District","Nicasio","21-65409-0000000",43,NA,NA,NA,NA,51.6,71,1040512,24916,1028216,24622,6266,1411,511,1.33583134939389
"88","88","Novato Unified (Marin)","Novato Unified","Novato Unified School District","Marin","Unified School District",7869,33633,6228235,"11228","84525993",66666947122,"11520","84809905","11559","Marin","Unified School District","Novato","21-65417-0000000",7869,NA,NA,NA,NA,46.4,54,84809905,11559,84525993,11520,1697,923,437,-0.491561946983992
"89","89","Oak Grove Elementary (Santa Clara)","Oak Grove Elementary","Oak Grove Elementary School District","Santa Clara","Elementary School District",10362,273264,6228235,"10801","112609827",66666947122,"11263","115185207","11521","Santa Clara","Elementary School District","San Jose","43-69625-0000000",10362,NA,NA,NA,NA,42.6,50.4,115185207,11521,112609827,11263,832,937,412,-0.527406862048037
"90","90","Oak Grove Union Elementary (Sonoma)","Oak Grove Union Elementary","Oak Grove Union Elementary School District","Sonoma","Elementary School District",1139,70940,6228235,"11883","9705072",66666947122,"12213","10096163","12706","Sonoma","Elementary School District","Santa Rosa","49-70839-0000000",1139,NA,NA,NA,NA,53.3,67,10096163,12706,9705072,12213,532,814,358,-0.394906203250983
"91","91","Oakland Unified (Alameda)","Oakland Unified","Oakland Unified School District","Alameda","Unified School District",49760,226904,6228235,"14835","535902227",66666947122,"15337","546936534","15653","Alameda","Unified School District","Oakland","01-61259-0000000",49760,NA,NA,NA,NA,25.5,31.9,546936534,15653,535902227,15337,2018,1858,1277,0.0408117526248
"92","92","Oakley Union Elementary (Contra Costa)","Oakley Union Elementary","Oakley Union Elementary School District","Contra Costa","Elementary School District",5015,177370,6228235,"10109","49664857",66666947122,"10265","50787657","10497","Contra Costa","Elementary School District","Oakley","07-61762-0000000",5015,NA,NA,NA,NA,27.4,38.4,50787657,10497,49664857,10265,745,937,361,-0.666602290973783
